t[s],Relative error in y,vy[m/s],x[m],ay[m/s]
0.18100000000000013,8.996270280514874e-05,-1.7726798473954968,0.0,-9.768055675443314
0.18200000000000013,9.047346247663316e-05,-1.7824479030709401,0.0,-9.767630273542265
0.18300000000000013,9.09844539281356e-05,-1.7922155333444825,0.0,-9.767202552654974
0.18400000000000014,9.149567856640965e-05,-1.8019827358971374,0.0,-9.766772513189226
0.18500000000000014,9.200713780792185e-05,-1.8117495084103266,0.0,-9.766340155554992
0.18600000000000014,9.251883306513945e-05,-1.8215158485658816,0.0,-9.765905480164434
0.18700000000000014,9.303076575937325e-05,-1.831281754046046,0.0,-9.765468487431901
0.18800000000000014,9.354293730705973e-05,-1.841047222533478,0.0,-9.765029177773922
0.18900000000000014,9.405534913206543e-05,-1.850812251711252,0.0,-9.764587551609214
0.19000000000000014,9.456800266136693e-05,-1.8605768392628612,0.0,-9.764143609358683
0.19100000000000014,9.508089932054512e-05,-1.87034098287222,0.0,-9.76369735144541
0.19200000000000014,9.559404053940581e-05,-1.8801046802236654,0.0,-9.763248778294663
0.19300000000000014,9.610742775018778e-05,-1.88986792900196,0.0,-9.762797890333891
0.19400000000000014,9.662106239065541e-05,-1.8996307268922938,0.0,-9.762344687992721
0.19500000000000015,9.713494589560945e-05,-1.9093930715802865,0.0,-9.761889171702965
0.19600000000000015,9.764907970576961e-05,-1.9191549607519895,0.0,-9.761431341898607
0.19700000000000015,9.816346526218002e-05,-1.928916392093888,0.0,-9.760971199015815
0.19800000000000015,9.867810401401179e-05,-1.938677363292904,0.0,-9.760508743492931
0.19900000000000015,9.919299740499713e-05,-1.9484378720363968,0.0,-9.760043975770474
0.20000000000000015,9.970814688902114e-05,-1.9581979160121674,0.0,-9.759576896291138
0.20100000000000015,0.00010022355391455903,-1.9679574929084585,0.0,-9.759107505499792
0.20200000000000015,0.00010073921994172439,-1.9777166004139581,0.0,-9.758635803843475
0.20300000000000015,0.0001012551464277896,-1.9874752362178016,0.0,-9.758161791771407
0.20400000000000015,0.00010177133483191186,-1.9972333980095731,0.0,-9.75768546973497
0.20500000000000015,0.00010228778661823251,-2.006991083479308,0.0,-9.757206838187724
0.20600000000000016,0.00010280450325625884,-2.016748290317496,0.0,-9.756725897585392
0.20700000000000016,0.00010332148621090298,-2.0265050162150815,0.0,-9.756242648385875
0.20800000000000016,0.00010383873695519609,-2.036261258863467,0.0,-9.755757091049233
0.20900000000000016,0.00010435625696431998,-2.0460170159545163,0.0,-9.7552692260377
