t[s],Relative error in y,vy[m/s],Relative error in x,vx[m/s]
0.3300000000000001,0.0017092285939485812,-3.2227486289454403,0.016340996977361445,9.611007611290036
0.34000000000000014,0.0017671277758139576,-3.3195418306265827,0.01680415475858703,9.599692106545263
0.35000000000000014,0.001825617198439184,-3.416257459275836,0.017266546559941903,9.588403230699056
0.36000000000000015,0.0018847211338105536,-3.512893284434899,0.017728174458005324,9.577140889826032
0.37000000000000016,0.0019444645634800013,-3.60944708307949,0.018189040521447555,9.565904990442144
0.38000000000000017,0.0020048732164270593,-3.7059166398194097,0.01864914681104815,9.554695439502089
0.3900000000000002,0.00206597360891586,-3.8022997470971016,0.019108495379826583,9.543512144396738
0.4000000000000002,0.0021277930864239624,-3.8985942053846716,0.019567088272940493,9.532355012950582
0.4100000000000002,0.0021903598678438482,-3.994797823379335,0.020024927527817857,9.521223953419199
0.4200000000000002,0.002253703092081172,-4.09090841819725,0.020482015174150978,9.51011887448673
0.4300000000000002,0.002317852867238908,-4.186923815565706,0.020938353234017566,9.499039685263389
0.4400000000000002,0.0023828403225570325,-4.2828418500136305,0.02139394372179303,9.487986295282969
0.45000000000000023,0.0024486976633116696,-4.378660365060383,0.021848788644270315,9.476958614500383
0.46000000000000024,0.0025154582288756527,-4.4743772134027955,0.022302890000678734,9.465956553289216
0.47000000000000025,0.0025831565542039536,-4.569990257100438,0.022756249782699734,9.454980022439292
0.48000000000000026,0.0026518284349277632,-4.665497367759063,0.023208869974580045,9.444028933154263
0.49000000000000027,0.002721510996410403,-4.760896426712214,0.02366075255305363,9.433103197049206
0.5000000000000002,0.0027922427669689227,-4.8561853252009435,0.024111899487455724,9.42220272614825
0.5100000000000002,0.0028640637556445344,-4.951361964551638,0.024562312739720524,9.411327432882201
0.5200000000000002,0.0029370155348316805,-5.046424256351897,0.025011994264487726,9.400477230086208
0.5300000000000002,0.0030111413281332065,-5.141370122624448,0.02546094600903314,9.389652030997421
0.5400000000000003,0.003086486103873525,-5.236197495999066,0.02590916991337399,9.378851749252677
0.5500000000000003,0.003163096674658251,-5.33090431988247,0.026356667910270522,9.368076298886205
0.5600000000000003,0.0032410218035281877,-5.425488548626172,0.02680344192532543,9.35732559432734
0.5700000000000003,0.0033203123171587287,-5.519948147692241,0.02724949387692193,9.346599550398254
0.5800000000000003,0.00340102122671576,-5.614281093816973,0.027694825676322303,9.335898082311704
0.5900000000000003,0.003483203856978636,-5.708485375172425,0.028139439227687104,9.325221105668799
0.6000000000000003,0.0035669179843915966,-5.802558991525802,0.028583336428094096,9.314568536456772
0.6100000000000003,0.0036522239848196148,-5.896499954396661,0.02902651916763073,9.303940291046779
0.6200000000000003,0.0037391849917852537,-5.990306287211916,0.029468989329339675,9.293336286191707
0.6300000000000003,0.0038278670661048776,-6.083976025458626,0.0299107487893118,9.282756439023997
0.6400000000000003,0.00391833937786869,-6.1775072168345275,0.03035179941669067,9.272200667053482
0.6500000000000004,0.004010674401900152,-6.270897921396307,0.030792143073760676,9.261668888165245
0.6600000000000004,0.004104948127797519,-6.364146211705587,0.031231781615897413,9.251161020617479
0.6700000000000004,0.004201240285932355,-6.457250172972601,0.03167071689165538,9.240676983039378
0.6800000000000004,0.004299634590792674,-6.550207903197547,0.03210895074278746,9.230216694429032
0.6900000000000004,0.004400219003293377,-6.643017513309596,0.03254648500426368,9.219780074151332
0.7000000000000004,0.0045030860137655815,-6.735677127303534,0.032983321504355186,9.209367041935907
