#  x     x-floor(x+0.5)     xsum
  0.29950   0.29950   0.27740
  0.30050   0.30050   0.27940
  0.30150   0.30150   0.28149
  0.30250   0.30250   0.28365
  0.30350   0.30350   0.28590
  0.30450   0.30450   0.28822
  0.30550   0.30550   0.29061
  0.30650   0.30650   0.29307
  0.30750   0.30750   0.29558
  0.30850   0.30850   0.29816
  0.30950   0.30950   0.30079
  0.31050   0.31050   0.30346
  0.31150   0.31150   0.30618
  0.31250   0.31250   0.30892
  0.31350   0.31350   0.31170
  0.31450   0.31450   0.31451
  0.31550   0.31550   0.31733
  0.31650   0.31650   0.32015
  0.31750   0.31750   0.32299
  0.31850   0.31850   0.32582
  0.31950   0.31950   0.32864
  0.32050   0.32050   0.33145
  0.32150   0.32150   0.33424
  0.32250   0.32250   0.33699
  0.32350   0.32350   0.33971
  0.32450   0.32450   0.34239
  0.32550   0.32550   0.34503
  0.32650   0.32650   0.34760
  0.32750   0.32750   0.35012
  0.32850   0.32850   0.35257
  0.32950   0.32950   0.35495
  0.33050   0.33050   0.35724
  0.33150   0.33150   0.35946
  0.33250   0.33250   0.36159
  0.33350   0.33350   0.36362
  0.33450   0.33450   0.36555
  0.33550   0.33550   0.36738
  0.33650   0.33650   0.36911
  0.33750   0.33750   0.37072
  0.33850   0.33850   0.37222
  0.33950   0.33950   0.37360
  0.34050   0.34050   0.37486
  0.34150   0.34150   0.37599
  0.34250   0.34250   0.37701
  0.34350   0.34350   0.37789
  0.34450   0.34450   0.37865
  0.34550   0.34550   0.37929
  0.34650   0.34650   0.37979
  0.34750   0.34750   0.38017
  0.34850   0.34850   0.38042
  0.34950   0.34950   0.38054
  0.35050   0.35050   0.38054
  0.35150   0.35150   0.38042
  0.35250   0.35250   0.38018
  0.35350   0.35350   0.37982
  0.35450   0.35450   0.37935
  0.35550   0.35550   0.37877
  0.35650   0.35650   0.37808
  0.35750   0.35750   0.37729
  0.35850   0.35850   0.37641
  0.35950   0.35950   0.37543
  0.36050   0.36050   0.37438
  0.36150   0.36150   0.37324
  0.36250   0.36250   0.37203
  0.36350   0.36350   0.37076
  0.36450   0.36450   0.36943
  0.36550   0.36550   0.36805
  0.36650   0.36650   0.36663
  0.36750   0.36750   0.36518
  0.36850   0.36850   0.36370
  0.36950   0.36950   0.36220
  0.37050   0.37050   0.36069
  0.37150   0.37150   0.35919
  0.37250   0.37250   0.35769
  0.37350   0.37350   0.35621
  0.37450   0.37450   0.35476
  0.37550   0.37550   0.35335
  0.37650   0.37650   0.35198
  0.37750   0.37750   0.35067
  0.37850   0.37850   0.34942
  0.37950   0.37950   0.34824
